Job Family,Skill Family,Core Skill,Sub Skill,Placeholder for tools
Network,Networking,Palo Alto Networks Adminisration,Palo Alto Networks Aperture,
Network,Network Security,Palo Alto Networks Adminisration,Palo Alto Networks Advanced Threat Management,
Network,Firewalls,Palo Alto Networks Adminisration,Palo Alto Networks Next Generation Firewall,
Network,Firewalls,Cisco,Cisco Firewalls,
Network,Firewalls,Firewall Management,Firewall Policies,
Network,Operating System,FreeBSD Administration & Configuration,FreeBSD,
Network,Networking,CCNA,Cisco Certified Network Associate,
Network,Networking,Remote Access Management,Remote Access,
Network,Networking,Network Support & Troubleshooting,Network Support ,
Network,Networking,Automation Development and Implementation,Network Automation,
Network,Networking,Automation Development and Implementation,Redhat Ansible ,
Network,Networking,Automation Development and Implementation,Python Programming ,
Network,Networking,Automation Development and Implementation,Automation Scripting,
Network,Networking,Automation Development and Implementation,Automation Tools ,
Network,Networking,Automation Development and Implementation,Process Automations,
Network,Networking,Automation Development and Implementation,DevOps,
Network,Networking,Automation Development and Implementation,Perl Programming,
Network,Networking,Automation Development and Implementation,Perl Scripts ,
Network,Networking,Automation Development and Implementation,Kiwi CatTools ,
Network,Networking,Automation Development and Implementation,Automation Technology ,
Network,Networking,Network Services,Domain Name System,
Network,Networking,Network Services,Dynamic Host Configuration Protocol,
Network,Networking,Network Discovery & Mapping ,Network Discovery ,
Security,User Account  Administration,User Provisioning,"Ms Apps, Active Directory, Exchange, Lync,Lotus notes, Blackberry, smartphones, IDM, Novell iManager,RSA VPN,eFax,RightFax, HR System Applications, Clinical Apps, customized Apps,Financial Apps, Customized WebApps,As400 Servers iseries navigator","Active Directory, IDM, IAM , Novell iManager, Domino Lotus Notes, MS Lync, Blackberry, Smartphone, Efax, Rightfax,RSA,Peoplesoft Apps, Financial and HR Systems Apps,Clinical apps like Cerner, Meditech,Invision,SFDC,Customized WebApps"
Security,User Account  Administration,Mainframe Provisioning,"RACF, JCL, ACF2",
Security,User Account  Administration,"Remedy, Service Now",Ticket Creation,
Security,Security Operation Center (SOC),SIEM,"RSA enVision, ArcSight,Nitro,ESM","RSA enVision, RSA Security Analytics, McAfee ESM, ArcSight ESM, Hawk Network Defense "
Security,Security Operation Center (SOC),Security Policies,Information Security ,HIPAA Security Role
Security,Security Operation Center (SOC),Security Policies,Security Awareness,
Security,Security Operation Center (SOC),Security Policies,Access Server,
Security,Security Operation Center (SOC),Security Policies,Active DOD Secret Clearance,
Security,Security Operation Center (SOC),Operations Management,Tactical Operations,
Security,Security Operation Center (SOC),Operations Management,Security Project Management,
Security,Data Protection,Data Loss Protection,"McAfee DLP, Symantec Vontu, Websence, code green",
Security,Data Center Management,Data Center Configuration,Data Center Swithing,
Security,Data Center Management,Data Center Operations,Data Center Infrastructure Management,
Security,System Settings,Perfomance Monitoring,System Administration,
Security,System Settings,Perfomance Monitoring,Data Center Services,
Security,Emerging Technologies,Identity Management - IDM,"Sailpoint, IBM Tivoli Identity Manager (ITIM), Microsoft Forefront Identity Manager, LDAP",
Security,Emerging Technologies,Two Factor Authentication,"RSA Authentication Manager, Quest Defender",
Security,Emerging Technologies,Single Sign On,"Hitachi Password Management, Siteminder",
Security,Emerging Technologies,Priviledged Access Management,"Lieberman PIM, Quest TPAM, SecretServer",
Security,Emerging Technologies,File Integrity Monitoring,"Tripwire Enterpirse, McAfee Change Control, Signacert, OSSEC",
Security,Emerging Technologies,Managed PKI,Symantec MPKI,
Security,Endpoint Security,Endpoint Anti-Virus Protection,"Symantec SEPM, McAfee EPO, Trend Micro",
Security,Endpoint Security,Endpoint Whole Disk Encryption,"McAfee Safeboot, McAfee EEPC, Dell DDP\E, MBAM Microsoft Bitlocker, Symantec PGP, Data Armour, ",
Security,Endpoint Security,Microsoft Endpoint ,Microsoft Endpoint Configuration Manger ,
Security,Network Security,Network Security - Firewall,"Checkpoint, Cisco,Sonicwall, Palo Alto, Juniper","Firemon, Nitro, NSM, Panoroma"
Security,Network Security,Network Security - Firewall,Cisco ASA Firewall,
Security,Network Security,Network Security - Firewall,Fortinet FortiGate Firewall,
Security,Network Security,Network Security - IDS/IPS,"Sourcefire, Cisco, Tipping Point, Snort, McAfee",McAfee and Cisco Security Manager
Security,Network Security,IT security ,IT security Governence ,
Security,Network Security,IT security ,IT Security Management ,
Security,Network Security,IT security ,Security Audit ,
Security,Network Security,IT security ,Security Evaluations,
Security,Network Security,IT security ,Security Governence ,
Security,Network Security,IT security ,Security Information Management ,
Security,Network Security,IT security ,Security Risk Assessment ,
Security,Network Security,IT security ,Secuirty Risk Management ,
Security,Network Security,IT security ,System Backups,
Security,Network Security,Cryptography ,Public Key Infrastructure ,
Security,Network Security,Network Security - Content Filtering,"Bluecoat, Websense, McAfee Webgateway, Bluecoat Threatpulse","Bluecoat Reporter, Bluecoat Director"
Security,Network Security,Network Securrity - ACS,"Cisco, Cisco Security",DMZ/MDMZ/Copr ACS
Security,Network Security,Internet Protocol,IP Network Security,
Security,Network Security,Network Security - Protocol,Network Sniffing,
Security,Network Security,Network Security Knowledge & Sales,Network Security Sales,
Security,Network Security,Network Securrity - Cisco,Cisco Trust Sec,
Security,Network Security,Information Technology,Information Technology Systems,
Security,Network Security,Information Technology,Identity Access Management ,
Security,Network Security,Identity & Access Management,Directory Services,
Security,Network Security,Information Assurance ,Information Assurance Management ,
Security,Network Security,Information Assurance ,Information Security Assesment ,
Security,Cyber Security ,Information Security,System Integration Testing,
Security,Cyber Security ,Informration Security ,Information Security Policies,
Security,Cyber Security ,Informration Security ,Information Technology Security,
Security,Cyber Security ,Informration Security ,Information Technology Assessments ,
Security,Cyber Security ,Informration Security ,IT Service Continuity  Management ,
Security,Cyber Security ,Informration Security ,Information Security Auditing ,
Security,Cyber Security ,Informration Security ,Information Security Awarness ,
Security,Cyber Security ,Informration Security ,Information Security Management ,
Security,Cyber Security ,Informration Security ,Information Security Services ,
Security,Cyber Security ,Informration Security ,Information Technology Risk ,
Security,Cyber Security ,Informration Security ,Information Technology Risk Management ,
Security,Cyber Security ,Informration Security ,ISO 17799,
Security,Cyber Security ,Informration Security ,ISO 27000,
Security,Cyber Security ,Risk Assessment & Mitigation,Risk Analysis,
Security,Cyber Security ,Risk Assessment & Mitigation,Risk Assesment ,
Security,Cyber Security ,Risk Assessment & Mitigation,Valnurability Management ,
Security,Cyber Security ,Access Control Management,Security Access Control,
Security,Cyber Security ,Informration Security ,Cyber Security Management,
Security,Cyber Security ,Informration Security ,Information Security Awareness Training,
Security,Cyber Security ,Informration Security ,Information Security Risk Assesments ,
Security,Cyber Security ,Informration Security ,IT System Security ,
Security,Cyber Security ,Informration Security ,Application Security ,
Security,Cyber Security ,Regulatory Complience ,FISMA,
Security,Cyber Security ,Regulatory Complience ,Payement Card Industry ,
Security,Cyber Security ,Threat Assesment  And Response ,Homeland Security ,
Hybrid and Multicloud,Active Directory,Microsoft Directory Services,AD Powershell Scripting,
Hybrid and Multicloud,Active Directory,Microsoft Directory Services,AD RMS,
Hybrid and Multicloud,Active Directory,Microsoft Directory Services,"AD Security  (Security Auditing, Security Compliance Manager, Security Identifiers, Security Descriptors, Access Control Lists and Security Principals)",
Hybrid and Multicloud,Active Directory,Microsoft Directory Services,"Certificate (CA, Certificate Services, PKI)",
Hybrid and Multicloud,Active Directory,Microsoft Directory Services,DFS / DFSR / DFSN,
Hybrid and Multicloud,Active Directory,Microsoft Directory Services,Migration and Organization (ADMT),
Hybrid and Multicloud,Active Directory,Microsoft Directory Services,AD Integrated DNS and WINS,
Hybrid and Multicloud,Active Directory,Microsoft Directory Services,"AD LDS, Search and Publication Technologies(LDAP) ",
Hybrid and Multicloud,Active Directory,Microsoft Directory Services,Group Policy Support,
Hybrid and Multicloud,Active Directory,Microsoft Directory Services,"Identity and authentication (Kerberos, NTLM)",
Hybrid and Multicloud,Active Directory,Microsoft Directory Services,"On Prem AD (Trusts, Domains, Forests, Replication)",
Hybrid and Multicloud,Bus Continuity & Disaster Recovery,DR Planning and Execution,"Architecture, Process Consulting, Business Continuity Strategy, DR Strategy Development, DR Test planning and Development.",
Hybrid and Multicloud,Bus Continuity & Disaster Recovery,DR Planning and Execution,DR Execution and coordination,
Hybrid and Multicloud,Cloud,Amazon Cloud Management,Amazon Web Services,
Hybrid and Multicloud,Cloud,Amazon Cloud Management,AWS Cloud Computing,
Hybrid and Multicloud,Cloud,Amazon Cloud Management,AWS Cloud Formation,
Hybrid and Multicloud,Cloud,Amazon Cloud Management,AWS Configuration,
Hybrid and Multicloud,Cloud,Google Cloud,Google Cloud,
Hybrid and Multicloud,Cloud,Microsoft Cloud,Azure Backup,
Hybrid and Multicloud,Cloud,Microsoft Cloud,Azure Cloud Virtualization (VMs and VM Management),
Hybrid and Multicloud,Cloud,Microsoft Cloud,"Azure Off Prem AD (ADFS, Cloud AD)",
Hybrid and Multicloud,Cloud,Microsoft Cloud,Azure On Prem,
Hybrid and Multicloud,Cloud,Microsoft Cloud,Microsoft Azure,
Hybrid and Multicloud,Cloud,Microsoft Cloud,Cloud Storage,
Hybrid and Multicloud,Cloud,Rackspace Cloud,Rackspace Cloud,
Hybrid and Multicloud,Cloud,Rackspace Cloud,Rack Design,
Hybrid and Multicloud,Cloud,Cloud Networking Architecture,Cloud Networking,
Hybrid and Multicloud,Cloud,Cloud Computing ,Cloud Architecture,
Hybrid and Multicloud,Cloud,Cloud Computing ,OpenStack,
Hybrid and Multicloud,Cloud,Cloud Computing ,Cloud Engineering,
Hybrid and Multicloud,Cloud,Cloud Computing ,Desktop Cloud ,
Hybrid and Multicloud,Cloud,Cloud Formation,Infrastructure as Cloud ,
Hybrid and Multicloud,Cloud,Cloud Formation,Cloud Infrastructure,
Hybrid and Multicloud,Cloud,Cloud Formation,Cloud Infrastructure Management,
Hybrid and Multicloud,Cloud,Cloud Computing ,AWS Directory Service,
Hybrid and Multicloud,Server & Platform,HP PA-RISC/ Itanium,,
Hybrid and Multicloud,Server & Platform,IBM iSeries ,"System Architecture, System Planning Tool, Configuration and Setup",
Hybrid and Multicloud,Server & Platform,IBM pSeries - rack and blade servers,,
Hybrid and Multicloud,Server & Platform,IBM zSeries,"2828 (BC12), 2818 (Z114) & 2098 (Z10) System Architecture, System Planning Tool, Configuration and Setup",
Hybrid and Multicloud,Server & Platform,Intel based Blade Servers & Chassis,Dell,
Hybrid and Multicloud,Server & Platform,Intel based Blade Servers & Chassis,HP,
Hybrid and Multicloud,Server & Platform,Intel based Blade Servers & Chassis,IBM,
Hybrid and Multicloud,Server & Platform,Intel based modular & converged servers,Cisco (UCS),
Hybrid and Multicloud,Server & Platform,Intel based modular & converged servers,"Dell (FC, FX2, La Jolla, VRTX, XC)",
Hybrid and Multicloud,Server & Platform,Intel based modular & converged servers,HP,
Hybrid and Multicloud,Server & Platform,Intel based modular & converged servers,IBM,
Hybrid and Multicloud,Server & Platform,Intel based modular & converged servers,VCE (Vblock),
Hybrid and Multicloud,Server & Platform,Intel based rack/ tower servers,Dell,
Hybrid and Multicloud,Server & Platform,Intel based rack/ tower servers,HP,
Hybrid and Multicloud,Server & Platform,Intel based rack/ tower servers,IBM,
